cvr_kode;cvr_navn;kommunekode;aktiv
66137112;Albertslund Kommune;165;t
60183112;Allerød Kommune;201;t
29189692;Assens Kommune;420;t
58271713;Ballerup Kommune;151;t
29189765;Billund Kommune;530;t
26696348;Bornholms Regionskommune;400;t
65113015;Brøndby Kommune;153;t
29189501;Brønderslev Kommune;810;t
25775635;Christiansø;411;t
12881517;Dragør Kommune;155;t
29188386;Egedal Kommune;240;t
29189803;Esbjerg Kommune;561;t
31210917;Fanø Kommune;563;t
29189714;Favrskov Kommune;710;t
29188475;Faxe Kommune;320;t
29188335;Fredensborg Kommune;210;t
69116418;Fredericia Kommune;607;t
11259979;Frederiksberg Kommune;147;t
29189498;Frederikshavn Kommune;813;t
29189129;Frederikssund Kommune;250;t
29188327;Furesø Kommune;190;t
29188645;Faaborg-Midtfyn Kommune;430;t
19438414;Gentofte Kommune;157;t
62761113;Gladsaxe Kommune;159;t
65120119;Glostrup Kommune;161;t
44023911;Greve Kommune;253;t
29188440;Gribskov Kommune;270;t
29188599;Guldborgsund Kommune;376;t
29189757;Haderslev Kommune;510;t
29188416;Halsnæs Kommune;260;t
29189587;Hedensted Kommune;766;t
64502018;Helsingør Kommune;217;t
63640719;Herlev Kommune;163;t
29189919;Herning Kommune;657;t
29189366;Hillerød Kommune;219;t
29189382;Hjørring Kommune;860;t
29189447;Holbæk Kommune;316;t
29189927;Holstebro Kommune;661;t
29189889;Horsens Kommune;615;t
55606617;Hvidovre Kommune;167;t
19501817;Høje-Taastrup Kommune;169;t
70960516;Hørsholm Kommune;223;t
29189617;Ikast-Brande Kommune;756;t
11931316;Ishøj Kommune;183;t
29189439;Jammerbugt Kommune;849;t
29189595;Kalundborg Kommune;326;t
29189706;Kerteminde Kommune;440;t
29189897;Kolding Kommune;621;t
64942212;Københavns Kommune;101;t
29189374;Køge Kommune;259;t
29188955;Langeland Kommune;482;t
29188548;Lejre Kommune;350;t
29189935;Lemvig Kommune;665;t
29188572;Lolland Kommune;360;t
11715311;Lyngby-Taarbæk Kommune;173;t
45973328;Læsø Kommune;825;t
29189455;Mariagerfjord Kommune;846;t
29189684;Middelfart Kommune;410;t
41333014;Morsø Kommune;773;t
29189986;Norddjurs Kommune;707;t
29188947;Nordfyns Kommune;480;t
29189722;Nyborg Kommune;450;t
29189625;Næstved Kommune;370;t
32264328;Odder Kommune;727;t
35209115;Odense Kommune;461;t
29188459;Odsherred Kommune;306;t
29189668;Randers Kommune;730;t
29189463;Rebild Kommune;840;t
29189609;Ringkøbing-Skjern Kommune;760;t
18957981;Ringsted Kommune;329;t
29189404;Roskilde Kommune;265;t
29188378;Rudersdal Kommune;230;t
65307316;Rødovre Kommune;175;t
23795515;Samsø Kommune;741;t
29189641;Silkeborg Kommune;740;t
29189633;Skanderborg Kommune;746;t
29189579;Skive Kommune;779;t
29188505;Slagelse Kommune;330;t
68534917;Solrød Kommune;269;t
29189994;Sorø Kommune;340;t
29208654;Stevns Kommune;336;t
29189951;Struer Kommune;671;t
29189730;Svendborg Kommune;479;t
29189978;Syddjurs Kommune;706;t
29189773;Sønderborg Kommune;540;t
29189560;Thisted Kommune;787;t
29189781;Tønder Kommune;550;t
20310413;Tårnby Kommune;185;t
19583910;Vallensbæk Kommune;187;t
29189811;Varde Kommune;573;t
29189838;Vejen Kommune;575;t
29189900;Vejle Kommune;630;t
29189471;Vesthimmerlands Kommune;820;t
29189846;Viborg Kommune;791;t
29189676;Vordingborg Kommune;390;t
28856075;Ærø Kommune;492;t
29189854;Aabenraa Kommune;580;t
29189420;Aalborg Kommune;851;t
55133018;Aarhus Kommune;751;t
